state_ut,district,year_month,Latitude,Longitude,Cases,Deaths,preci,LAI,Temp,Cases_MA_3,Deaths_MA_3,Case_Growth_Rate,Month,Season
Andhra Pradesh,East Godavari,2018-02,16.99842865,81.71561488,9.0,0.0,3.28e-05,16.0,302.7833334,33.333333333333336,0.0,-0.8656716417910448,2,Winter
Andhra Pradesh,Godavari,2011-03,16.99842865,81.71561488,19.0,0.0,0.001156009842,13.0,305.74,19.0,0.0,0.0,3,Summer
Andhra Pradesh,Guntur,2010-05,16.2915189,80.4541588,45.0,0.0,0.008228921511,0.0,310.272,45.0,0.0,0.0,5,Summer
Andhra Pradesh,Guntur,2018-01,16.2915189,80.4541588,7.0,2.0,0.004933707398,9.0,304.376,26.0,1.0,-0.8444444444444444,1,Winter
Andhra Pradesh,Guntur,2018-03,16.2915189,80.4541588,168198721.0,4.0,0.0032135801930000003,5.666666666666667,311.836,56066257.666666664,2.0,24028387.714285713,3,Summer
Andhra Pradesh,Guntur,2018-04,16.2915189,80.4541588,19.0,0.0,0.01110698313,7.0,311.4833334,56066249.0,2.0,-0.99999988703838,4,Summer
Andhra Pradesh,Guntur,2018-06,16.2915189,80.4541588,3553.0,0.0,0.07889784523000001,2.5,309.9166667,56067431.0,1.3333333333333333,186.0,6,Monsoon
Andhra Pradesh,Guntur,2019-05,16.2915189,80.4541588,23.0,2.0,0.006561507979,5.0,315.024,1198.3333333333333,0.6666666666666666,-0.9935265972417675,5,Summer
Andhra Pradesh,Guntur,2019-09,16.2915189,80.4541588,38.0,0.0,1.075276598,9.0,303.1266666,1204.6666666666667,0.6666666666666666,0.6521739130434783,9,Monsoon
Andhra Pradesh,Kadapa,2009-06,14.4752936,78.8216861,39.0,0.0,0.05305104678,8.0,310.14,39.0,0.0,0.0,6,Monsoon
Andhra Pradesh,Kadapa,2009-07,14.4752936,78.8216861,1850.0,0.0,0.1727718164,0.0,309.48,944.5,0.0,46.43589743589744,7,Monsoon
Andhra Pradesh,Kadapa,2009-12,14.4752936,78.8216861,65.0,0.0,0.007220750371,9.0,302.14,651.3333333333334,0.0,-0.9648648648648649,12,Winter
Andhra Pradesh,Kadapa,2010-05,14.4752936,78.8216861,171842.0,0.0,0.015683737776666668,5.333333333333333,314.9817778,57919.0,0.0,2642.723076923077,5,Summer
Andhra Pradesh,Kadapa,2010-06,14.4752936,78.8216861,391153820.0,0.0,0.5494302793575,3.25,232.53333335000002,130441909.0,0.0,2275.241081924093,6,Monsoon
Andhra Pradesh,Kadapa,2010-07,14.4752936,78.8216861,1417713753.0,0.0,0.27308281993399997,7.6,185.04000000000002,603013138.3333334,0.0,2.6244405154984807,7,Monsoon
Andhra Pradesh,Kadapa,2011-05,14.4752936,78.8216861,32.0,0.0,0.03010703838,8.0,312.096,602955868.3333334,0.0,-0.9999999774284478,5,Summer
Andhra Pradesh,Kadapa,2011-06,14.4752936,78.8216861,42.0,0.0,0.2414661965,7.0,310.4533334,472571275.6666667,0.0,0.3125,6,Monsoon
Andhra Pradesh,Kadapa,2011-07,14.4752936,78.8216861,1010.0,0.0,0.1299988478,5.0,308.85,361.3333333333333,0.0,23.047619047619047,7,Monsoon
Andhra Pradesh,Kadapa,2011-10,14.4752936,78.8216861,1333.0,0.0,0.0062061692815,8.0,306.505,795.0,0.0,0.31980198019801986,10,Post-Monsoon
Andhra Pradesh,Kadapa,2012-05,14.4752936,78.8216861,42.0,1.0,0.1016562317,0.0,314.0666666,795.0,0.3333333333333333,-0.9684921230307577,5,Summer
Andhra Pradesh,Kadapa,2012-12,14.4752936,78.8216861,3125.0,0.0,0.43309792785,7.0,303.5416667,1500.0,0.3333333333333333,73.4047619047619,12,Winter
Andhra Pradesh,Kadapa,2013-06,14.4752936,78.8216861,48.0,2.0,0.08256184296,6.0,309.6,1071.6666666666667,1.0,-0.98464,6,Monsoon
Andhra Pradesh,Kadapa,2014-05,14.4752936,78.8216861,15.0,0.0,0.0001169490468,0.0,316.036,1062.6666666666667,0.6666666666666666,-0.6875,5,Summer
Andhra Pradesh,Kadapa,2015-03,14.4752936,78.8216861,42.0,0.0,0.04333554596,6.0,311.19,35.0,0.6666666666666666,1.7999999999999998,3,Summer
Andhra Pradesh,Kadapa,2015-07,14.4752936,78.8216861,101.0,0.0,0.009533108693,7.0,307.27,52.666666666666664,0.0,1.4047619047619047,7,Monsoon
Andhra Pradesh,Kadapa,2015-08,14.4752936,78.8216861,3523.0,0.0,0.21687108065,4.0,308.87,1222.0,0.0,33.881188118811885,8,Monsoon
Andhra Pradesh,Kadapa,2016-06,14.4752936,78.8216861,14.0,0.0,0.296688057,6.0,309.54,1212.6666666666667,0.0,-0.9960261141072949,6,Monsoon
Andhra Pradesh,Kadapa,2016-07,14.4752936,78.8216861,42.0,0.0,0.1040768561,9.0,301.12,1193.0,0.0,2.0,7,Monsoon
Andhra Pradesh,Kadapa,2017-03,14.4752936,78.8216861,32.0,0.0,0.01313335307,7.0,312.212,29.333333333333332,0.0,-0.23809523809523814,3,Summer
Andhra Pradesh,Kadapa,2017-04,14.4752936,78.8216861,48.0,0.0,0.001862683483,0.0,313.704,40.666666666666664,0.0,0.5,4,Summer
Andhra Pradesh,Kadapa,2017-05,14.4752936,78.8216861,62.0,0.0,0.03940527194,6.0,315.5733334,47.333333333333336,0.0,0.29166666666666674,5,Summer
Andhra Pradesh,Kadapa,2017-07,14.4752936,78.8216861,7.0,0.0,0.1471605754,7.0,310.02,39.0,0.0,-0.8870967741935484,7,Monsoon
Andhra Pradesh,Kadapa,2019-06,14.4752936,78.8216861,282.0,0.0,0.2276109761,3.0,313.94,117.0,0.0,39.285714285714285,6,Monsoon
Andhra Pradesh,Kadapa,2019-07,14.4752936,78.8216861,6.0,0.0,0.2835273569,3.0,313.94,98.33333333333333,0.0,-0.9787234042553191,7,Monsoon
Andhra Pradesh,Krishna,2010-04,16.21399145,81.02572814,19.0,0.0,0.000686087432,11.0,305.53200000000004,19.0,0.0,0.0,4,Summer
Andhra Pradesh,Krishna,2011-02,16.21399145,81.02572814,132.0,0.0,0.2278476707,15.0,300.628,75.5,0.0,5.947368421052632,2,Winter
Andhra Pradesh,Krishna,2011-04,16.21399145,81.02572814,106.0,3.0,0.5415081107,7.0,307.94,85.66666666666667,1.0,-0.19696969696969702,4,Summer
Andhra Pradesh,Krishna,2011-08,16.21399145,81.02572814,45.0,0.0,0.5729812104,9.0,300.82,94.33333333333333,1.0,-0.5754716981132075,8,Monsoon
Andhra Pradesh,Krishna,2011-09,16.21399145,81.02572814,30.0,0.0,0.02856716243,14.0,304.56,60.333333333333336,1.0,-0.33333333333333337,9,Monsoon
Andhra Pradesh,Krishna,2011-12,16.21399145,81.02572814,48.0,0.0,0.03798657977,9.0,302.336,41.0,0.0,0.6000000000000001,12,Winter
Andhra Pradesh,Krishna,2013-04,16.21399145,81.02572814,102.0,0.0,0.009029195966,7.0,310.368,60.0,0.0,1.125,4,Summer
Andhra Pradesh,Krishna,2014-03,16.21399145,81.02572814,31.0,0.0,7.47e-05,15.0,306.15000000000003,60.333333333333336,0.0,-0.696078431372549,3,Summer
Andhra Pradesh,Krishna,2014-12,16.21399145,81.02572814,25.0,0.0,0.0003007048705,14.0,300.37,52.666666666666664,0.0,-0.19354838709677424,12,Winter
Andhra Pradesh,Krishna,2015-07,16.21399145,81.02572814,140.0,0.0,0.09276153657,5.0,305.325,65.33333333333333,0.0,4.6,7,Monsoon
Andhra Pradesh,Krishna,2015-11,16.21399145,81.02572814,25.0,0.0,0.08084867334,0.0,301.012,63.333333333333336,0.0,-0.8214285714285714,11,Post-Monsoon
Andhra Pradesh,Krishna,2018-04,16.21399145,81.02572814,28.0,0.0,0.01054846624,0.0,305.64,64.33333333333333,0.0,0.1200000000000001,4,Summer
Andhra Pradesh,Krishna,2018-05,16.21399145,81.02572814,35.0,0.0,0.007031868493,4.0,305.4966666,29.333333333333332,0.0,0.25,5,Summer
Andhra Pradesh,Krishna,2022-04,16.21399145,81.02572814,30.0,0.0,0.001602218663,7.0,308.756,31.0,0.0,-0.1428571428571429,4,Summer
Andhra Pradesh,Kurnool,2010-06,15.8309251,78.0425373,22.0,0.0,0.04048025423,0.0,314.225,22.0,0.0,0.0,6,Monsoon
Andhra Pradesh,Kurnool,2011-04,15.8309251,78.0425373,71.0,0.0,0.0430614165,7.0,312.96,46.5,0.0,2.227272727272727,4,Summer
Andhra Pradesh,Kurnool,2011-05,15.8309251,78.0425373,55128.0,0.0,0.08862595967,6.0,314.135,18407.0,0.0,775.4507042253521,5,Summer
Andhra Pradesh,Kurnool,2011-06,15.8309251,78.0425373,2225252828.0,0.0,0.074249696364,3.2,309.008,741769342.3333334,0.0,40364.20149470324,6,Monsoon
Andhra Pradesh,Kurnool,2011-07,15.8309251,78.0425373,1212140.0,0.0,0.8024906864666667,4.666666666666667,304.18666666666667,742173365.3333334,0.0,-0.999455279874382,7,Monsoon
Andhra Pradesh,Kurnool,2012-08,15.8309251,78.0425373,28.0,0.0,0.4921974488,6.0,299.64,742154998.6666666,0.0,-0.9999769003580444,8,Monsoon
Andhra Pradesh,Kurnool,2012-09,15.8309251,78.0425373,18.0,0.0,0.008389028539,15.0,307.41,404062.0,0.0,-0.3571428571428571,9,Monsoon
Andhra Pradesh,Kurnool,2012-10,15.8309251,78.0425373,22.0,2.0,0.1665819417,16.0,301.935,22.666666666666668,0.6666666666666666,0.22222222222222232,10,Post-Monsoon
Andhra Pradesh,Kurnool,2013-07,15.8309251,78.0425373,5099.0,1.0,0.63268416055,2.0,0.0,1713.0,1.0,230.77272727272728,7,Monsoon
Andhra Pradesh,Kurnool,2013-11,15.8309251,78.0425373,2419.0,3.0,0.0549546173951,12.5,302.8473333,2513.3333333333335,2.0,-0.5255932535791332,11,Post-Monsoon
Andhra Pradesh,Kurnool,2015-02,15.8309251,78.0425373,22.0,0.0,0.0001869740084,0.0,311.44,2513.3333333333335,1.3333333333333333,-0.9909053327821414,2,Winter
Andhra Pradesh,Kurnool,2015-05,15.8309251,78.0425373,34.0,0.0,0.0271350511,6.0,310.176,825.0,1.0,0.5454545454545454,5,Summer
Andhra Pradesh,Kurnool,2016-02,15.8309251,78.0425373,11.0,0.0,8.36e-05,0.0,311.1766666,22.333333333333332,0.0,-0.6764705882352942,2,Winter
Andhra Pradesh,Kurnool,2016-06,15.8309251,78.0425373,34.0,0.0,0.61201615,5.0,0.0,26.333333333333332,0.0,2.090909090909091,6,Monsoon
Andhra Pradesh,Kurnool,2017-05,15.8309251,78.0425373,2843.0,0.0,0.023689140091,2.0,317.84000000000003,962.6666666666666,0.0,82.61764705882354,5,Summer
Andhra Pradesh,Kurnool,2018-02,15.8309251,78.0425373,27.0,0.0,7.8e-05,6.0,309.112,968.0,0.0,-0.9905029897995076,2,Winter
Andhra Pradesh,Kurnool,2019-04,15.8309251,78.0425373,42.0,0.0,0.02615758416,0.0,317.156,970.6666666666666,0.0,0.5555555555555556,4,Summer
Andhra Pradesh,Kurnool,2019-09,15.8309251,78.0425373,26.0,0.0,0.2637816643,0.0,301.37333340000004,31.666666666666668,0.0,-0.38095238095238093,9,Monsoon
Andhra Pradesh,Kurnool,2019-10,15.8309251,78.0425373,65.0,0.0,0.1314620815,16.0,302.46,44.333333333333336,0.0,1.5,10,Post-Monsoon
Andhra Pradesh,Kurnool,2019-12,15.8309251,78.0425373,60.0,0.0,0.009241834235,12.0,301.62,50.333333333333336,0.0,-0.07692307692307687,12,Winter
Andhra Pradesh,Kurnool,2021-02,15.8309251,78.0425373,24.0,1.0,0.007255567001,8.0,306.6,49.666666666666664,0.3333333333333333,-0.6,2,Winter
Andhra Pradesh,Kurnool,2021-07,15.8309251,78.0425373,41.0,3.0,1.222079249,6.0,300.2,41.666666666666664,1.3333333333333333,0.7083333333333333,7,Monsoon
Andhra Pradesh,Nandyal,2022-05,15.52481495,78.41517104,2110.0,1.0,0.24558094854020002,8.0,305.358,2110.0,1.0,0.0,5,Summer
Andhra Pradesh,Nellore,2009-06,13.4923257,79.202539,43.0,0.0,0.1331302201,10.0,309.73,43.0,0.0,0.0,6,Monsoon
Andhra Pradesh,Nellore,2010-09,13.4923257,79.202539,27.0,1.0,0.09589897066,16.0,303.94,35.0,0.5,-0.37209302325581395,9,Monsoon
Andhra Pradesh,Nellore,2010-11,13.4923257,79.202539,38.0,0.0,0.6782579387,15.0,299.22,36.0,0.3333333333333333,0.40740740740740744,11,Post-Monsoon
Andhra Pradesh,Nellore,2011-06,13.4923257,79.202539,81.0,1.0,0.09398346726,9.0,0.0,48.666666666666664,0.6666666666666666,1.1315789473684212,6,Monsoon
Andhra Pradesh,Nellore,2011-07,13.4923257,79.202539,1531.0,1.0,0.191673801645,8.0,309.0633333,550.0,0.6666666666666666,17.901234567901234,7,Monsoon
Andhra Pradesh,Nellore,2012-01,13.4923257,79.202539,10.0,0.0,0.1145493093,13.0,300.96500000000003,540.6666666666666,0.6666666666666666,-0.9934683213585892,1,Winter
Andhra Pradesh,Nellore,2013-08,13.4923257,79.202539,27.0,0.0,0.1091315018,9.0,306.68,522.6666666666666,0.3333333333333333,1.7000000000000002,8,Monsoon
Andhra Pradesh,Nellore,2014-01,13.4923257,79.202539,32.0,0.0,0.005329409554,11.0,303.54,23.0,0.0,0.18518518518518512,1,Winter
Andhra Pradesh,Nellore,2015-05,13.4923257,79.202539,32.0,0.0,0.02226700101,5.0,309.90000000000003,30.333333333333332,0.0,0.0,5,Summer
Andhra Pradesh,Nellore,2015-08,13.4923257,79.202539,1113.0,0.0,0.21630574725,5.0,308.9766667,392.3333333333333,0.0,33.78125,8,Monsoon
Andhra Pradesh,Nellore,2015-10,13.4923257,79.202539,48.0,0.0,0.5927571458,0.0,304.05,397.6666666666667,0.0,-0.9568733153638814,10,Post-Monsoon
Andhra Pradesh,Nellore,2015-12,13.4923257,79.202539,1414.0,0.0,0.9864755403,13.0,299.46,858.3333333333334,0.0,28.458333333333332,12,Winter
Andhra Pradesh,Nellore,2016-05,13.4923257,79.202539,16.0,0.0,0.002134173655,10.0,307.7366666,492.6666666666667,0.0,-0.9886845827439887,5,Summer
Andhra Pradesh,Prakasam,2009-06,15.6589741,79.47164373,3912.0,1.0,0.09723388067,2.5,314.0066667,3912.0,1.0,0.0,6,Monsoon
Andhra Pradesh,Prakasam,2010-02,15.6589741,79.47164373,1131.0,0.0,0.0046923213825,4.0,308.216,2521.5,0.5,-0.7108895705521472,2,Winter
Andhra Pradesh,Prakasam,2010-04,15.6589741,79.47164373,26.0,0.0,0.01063122106,6.0,315.796,1689.6666666666667,0.3333333333333333,-0.9770114942528736,4,Summer
Andhra Pradesh,Prakasam,2010-05,15.6589741,79.47164373,13.0,0.0,0.01731948379,0.0,312.48,390.0,0.0,-0.5,5,Summer
Andhra Pradesh,Prakasam,2010-06,15.6589741,79.47164373,37.0,0.0,0.1133148257,9.0,310.56,25.333333333333332,0.0,1.8461538461538463,6,Monsoon
Andhra Pradesh,Prakasam,2010-07,15.6589741,79.47164373,444430.0,1.0,0.26400308792666666,9.666666666666666,202.59111106666668,148160.0,0.3333333333333333,12010.621621621622,7,Monsoon
Andhra Pradesh,Prakasam,2010-10,15.6589741,79.47164373,22.0,0.0,0.288185725,7.0,301.48,148163.0,0.3333333333333333,-0.9999504983911978,10,Post-Monsoon
Andhra Pradesh,Prakasam,2011-06,15.6589741,79.47164373,282828.0,0.0,0.003870045437,6.0,312.76,242426.66666666666,0.3333333333333333,12854.818181818182,6,Monsoon
Andhra Pradesh,Prakasam,2011-11,15.6589741,79.47164373,20.0,0.0,8.42e-05,11.0,306.996,94290.0,0.0,-0.9999292856435713,11,Post-Monsoon
Andhra Pradesh,Prakasam,2012-04,15.6589741,79.47164373,6035.0,0.0,0.0080503828275,5.0,315.8333334,96294.33333333333,0.0,300.75,4,Summer
Andhra Pradesh,Prakasam,2013-03,15.6589741,79.47164373,27.0,0.0,0.01582499826,7.0,311.6,2027.3333333333333,0.0,-0.9955260977630489,3,Summer
Andhra Pradesh,Prakasam,2013-05,15.6589741,79.47164373,22.0,0.0,0.04070217453,0.0,317.0933334,2028.0,0.0,-0.18518518518518523,5,Summer
